2nd-level,1st-level
Habitatstrukturen / Strukturelementkonzept / Habitatkonzept,Ökologie
Heimische Arten,Ökologie
Holzzuwachs,Ökologie
Lebensgemeinschaften,Ökologie
Lebensraumdynamik / Sukzession / Fluktuation,Ökologie
Lebensstrategien,Ökologie
Nahrungsnetze,Ökologie
Ökosysteme,Ökologie
Pflanzensoziologie,Ökologie
Population / Populationsdynamik,Ökologie
Prädation (top-down Steuergröße),Ökologie
Quellenfunktion / Senkenfunktion,Ökologie
Räuber-Beute-Systeme,Ökologie
Raumnutzung (Tiere),Ökologie
Raum-Zeit-Dynamik / raum-zeitliche Strukturen,Ökologie
Ressourcen (bottom-up Steuergröße),Ökologie
Selbstregulation / Selbstregulationsfähigkeit,Ökologie
seltene Gehölze,Ökologie
Spezielle Ökologie,Ökologie
Stoffhaushalt / Stoffflüsse / Stoffkreisläufe,Ökologie
Störung / Störungsregime,Ökologie
tierische Bestäuber,Ökologie
Vegetation,Ökologie
Verkehrsökologie,Ökologie
Vernetzung / Biotopvernetzung / Biotopverbund,Ökologie
Waldbodenpflanzen / Krautschicht / Moosschicht,Ökologie
Waldformationen / Pflanzenformationen,Ökologie
Zonobiome,Ökologie
Zoologie / Fauna,Ökologie
biogeochemischen Kreisläufe,Interaktionen / Ökologische Skalen / Kreisläufe
Interaktion Mensch - Umwelt,Interaktionen / Ökologische Skalen / Kreisläufe
ökologische Ebenen,Interaktionen / Ökologische Skalen / Kreisläufe
ökologische Interaktionen,Interaktionen / Ökologische Skalen / Kreisläufe
Pathogenitätsfaktoren,Interaktionen / Ökologische Skalen / Kreisläufe
Skala / Skalenebenen: Organismus - Population - Artengemeinschaft / Biozönose - Ökosystem,Interaktionen / Ökologische Skalen / Kreisläufe
System Atmosphäre - Boden - Pflanze,Interaktionen / Ökologische Skalen / Kreisläufe
System Erde - Atmosphäre,Interaktionen / Ökologische Skalen / Kreisläufe
Trophische Interaktionen,Interaktionen / Ökologische Skalen / Kreisläufe
Wechselbeziehung Herbivore - Antagonisten,Interaktionen / Ökologische Skalen / Kreisläufe
Wechselbeziehung Mensch - Wald (Tropen),Interaktionen / Ökologische Skalen / Kreisläufe
Wechselbeziehung Pflanzen - Herbivore,Interaktionen / Ökologische Skalen / Kreisläufe
Wechselwirkung Mikroorganismus - unbelebte und belebte Natur,Interaktionen / Ökologische Skalen / Kreisläufe
Zusammenhänge Vegetation - Standort,Interaktionen / Ökologische Skalen / Kreisläufe
Zusammenhänge Vorkommen Tierart - Standort,Interaktionen / Ökologische Skalen / Kreisläufe
aquatische Ökologie,ökologische / biologische Teildisziplinen
Ausbreitungsbiologie / Ausbreitungsökologie,ökologische / biologische Teildisziplinen
Autökologie,ökologische / biologische Teildisziplinen
Blütenbiologie,ökologische / biologische Teildisziplinen
Dendroökologie,ökologische / biologische Teildisziplinen
Entwicklungsbiologie,ökologische / biologische Teildisziplinen
Evolutionsbiologie,ökologische / biologische Teildisziplinen
Fischökologie,ökologische / biologische Teildisziplinen
Histologie,ökologische / biologische Teildisziplinen
Landschaftsökologie,ökologische / biologische Teildisziplinen
mikrobielle Ökologie,ökologische / biologische Teildisziplinen
Molekularbiologie,ökologische / biologische Teildisziplinen
Ökotoxikologie,ökologische / biologische Teildisziplinen
Paläoökologie,ökologische / biologische Teildisziplinen
Populationsökologie,ökologische / biologische Teildisziplinen
Reproduktionsbiologie,ökologische / biologische Teildisziplinen
Stadtökologie,ökologische / biologische Teildisziplinen
Systemökologie,ökologische / biologische Teildisziplinen
Toxikologie,ökologische / biologische Teildisziplinen
Verhaltensökologie,ökologische / biologische Teildisziplinen
Zellbiologie,ökologische / biologische Teildisziplinen
Allokation / Waldallokation,Ökonomie
Budgetierung / Projektökonomie,Ökonomie
Controlling,Ökonomie
Forstökonomie,Ökonomie
Instrumente monetärer / nicht-monetärer ökologischer Bewertung,Ökonomie
Internalisierung externer Effekte,Ökonomie
Marketing (Forstindustrie / Holzindustrie),Ökonomie
ökologieorientierte Unternehmensstrategien / ökologieorientierte Unternehmensführung / umweltorientierte Unternehmensführung,Ökonomie
ökonomische Analysen,Ökonomie
Produktivität,Ökonomie
Ressourcenökonomie,Ökonomie
Spannungsfeld Gesellschaft - Wald - Forstwirtschaft,Ökonomie
Strukturwandel (wirtschaftlicher),Ökonomie
SWOT-Analyse,Ökonomie
Unternehmenswertsteigerung,Ökonomie
Verfügungsrechtsökonomik / Verfügungsrechte,Ökonomie
Wirtschaftlichkeit,Ökonomie
Wirtschaftsplanung,Ökonomie
Acker,Ökosysteme
aquatische Ökosysteme / limnische Ökosysteme,Ökosysteme
Fließgewässer,Ökosysteme
Forst,Ökosysteme
Heide,Ökosysteme
Moor / Sumpf,Ökosysteme
Städtischer Wald / Park / Garten,Ökosysteme
Standgewässer,Ökosysteme
terrestrische Ökosysteme,Ökosysteme
Tropen,Ökosysteme
tropische Straßenhabitate (Baum / Gehölz),Ökosysteme
Wald,Ökosysteme
Weide,Ökosysteme
Wiese,Ökosysteme
Wüste,Ökosysteme
Artenschutzprogramm,Pläne / Prüfungen / Bewertungen
Bauleitplanung,Pläne / Prüfungen / Bewertungen
Bebauungsplanung,Pläne / Prüfungen / Bewertungen
Bewertungsverfahren / Bewertungsmethoden,Pläne / Prüfungen / Bewertungen
Bewirtschaftungsplan,Pläne / Prüfungen / Bewertungen
Bodenbewertung,Pläne / Prüfungen / Bewertungen
FFH-Verträglichkeitsprüfung,Pläne / Prüfungen / Bewertungen
Flächennutzungsplanung,Pläne / Prüfungen / Bewertungen
Landschaftspflegerische Begleitplanung,Pläne / Prüfungen / Bewertungen
Landschaftsplanung / Landschaftsrahmenplanung,Pläne / Prüfungen / Bewertungen
Ökobilanz (globale Stoffströme / Waren / Recyclinggüter / Andere),Pläne / Prüfungen / Bewertungen
Ökobilanzierung / Umweltbewertung,Pläne / Prüfungen / Bewertungen
Raumplanung,Pläne / Prüfungen / Bewertungen
Regionalplanung,Pläne / Prüfungen / Bewertungen
Umweltrisikobewertung,Pläne / Prüfungen / Bewertungen
Umweltverträglichkeitsprüfung / Umweltverträglichkeitsstudie,Pläne / Prüfungen / Bewertungen
Bodenpolitik,Politik
Energiepolitik,Politik
Entwicklungspolitik,Politik
Forstpolitik,Politik
Governance / Governancekonzept,Politik
Innovationspolitik,Politik
Klimapolitik,Politik
Naturschutzpolitik,Politik
Politikfeldanalyse / Politikanalyse,Politik
Politikgestaltung / Politikkoordination,Politik
politikwissenschaftliche Erklärungsansätze,Politik
politische Instrumente,Politik
Preis- / Wettbewerbspolitik,Politik
Umweltpolitik,Politik
Administrative Steuerungsmaßnahmen (Wasser),Raumentwicklung
anthropogene Eingriffe,Raumentwicklung
Auswertungsverfahren,Raumentwicklung
Eingriffsregelung / Ausgleichsregelung,Raumentwicklung
technische Energie,Raumentwicklung
Entscheidungstheorie / Entscheidungsfindung,Raumentwicklung
europäische Raumentwicklung / Internationale Raumentwicklung,Raumentwicklung
Evaluierung,Raumentwicklung
Gewässerzustand,Raumentwicklung
Hochwasser,Raumentwicklung
Hochwasserschutz / integrierter Hochwasserschutz,Raumentwicklung
Integrierte ländliche Entwicklung,Raumentwicklung
Interessenkonflikte,Raumentwicklung
landschaftliche Transformationsprozesse,Raumentwicklung
Landschaftsentwicklung / Landschaftswandel / Landschaftsveränderung,Raumentwicklung
Ökosystemfunktionen,Raumentwicklung
Ökosystemleistungen / Ökosystemdienstleistungen,Raumentwicklung
Partizipation,Raumentwicklung
planerische Erhebungsverfahren,Raumentwicklung
praktische / planerische Umsetzung,Raumentwicklung
planerisches Leitbild,Raumentwicklung
Planungsansätze,Raumentwicklung
Vollzugsinstrumente,Raumentwicklung
Planungsinstrumente,Raumentwicklung
Planungstheorie,Raumentwicklung
Projektphasen,Raumentwicklung
Raumentwicklung,Raumentwicklung
räumliche Ebenen der Planung,Raumentwicklung
Raumordnung,Raumentwicklung
rechtliche Rahmenbedingungen / Planungsbedingungen (Boden),Raumentwicklung
städtebauliche Bodenordnung,Raumentwicklung
städtebauliche Instrumente,Raumentwicklung
Stadtentwicklung / Regionalentwicklung,Raumentwicklung
Stadtplanung,Raumentwicklung
Stadtumbau,Raumentwicklung
technische Wärme,Raumentwicklung
territoriale Kohäsion,Raumentwicklung
Trends / Zukunftsfragen,Raumentwicklung
Umweltanalyse / Ressourcenanalyse,Raumentwicklung
Umweltschutz / Umweltvorsorge / nachsorgender Umweltschutz,Raumentwicklung
Verkehrsplanung,Raumentwicklung
Wirkungsanalyse / Wirkungsabschätzung in der Planung,Raumentwicklung
Ziele in der Planung / Zielsysteme in der Planung,Raumentwicklung
Bodenfunktionen,Schutz / Schutzgüter / Landschaftsfunktionen
Bodenschutz,Schutz / Schutzgüter / Landschaftsfunktionen
Gewässerschutz,Schutz / Schutzgüter / Landschaftsfunktionen
Klimaschutz,Schutz / Schutzgüter / Landschaftsfunktionen
Kulturraum,Schutz / Schutzgüter / Landschaftsfunktionen
Lebensraumfunktion,Schutz / Schutzgüter / Landschaftsfunktionen
Naturraum / Naturraumausstattung,Schutz / Schutzgüter / Landschaftsfunktionen
Naturressourcen,Schutz / Schutzgüter / Landschaftsfunktionen
Regeneration,Schutz / Schutzgüter / Landschaftsfunktionen
Schutz von Pflanzenbeständen,Schutz / Schutzgüter / Landschaftsfunktionen
Schutz von Tierbeständen,Schutz / Schutzgüter / Landschaftsfunktionen
Schutzgüter,Schutz / Schutzgüter / Landschaftsfunktionen
Wasserdargebot,Schutz / Schutzgüter / Landschaftsfunktionen
Führung / Führungsmodelle / Führungstheorien,Sozialkompetenzen
Kommunikation / Kommunikationsmethoden,Sozialkompetenzen
Konfliktarten / Konfliktlösung / Mediation,Sozialkompetenzen
Moderation,Sozialkompetenzen
Organisation / Zeitmanagement,Sozialkompetenzen
Präsentation / Präsentationsmethoden / Präsentationstechnologien,Sozialkompetenzen
Teambildung / Teambuilding / Teamfindung,Sozialkompetenzen
Analyse komplexer Systeme,Statistik
analytische Statistik,Statistik
bayesische Statistik,Statistik
biometrische Statistik,Statistik
Biostatistik,Statistik
Datenanalyse,Statistik
Datenstruktur / Datenstrukturierung / Datenorganisation / Datenadministration,Statistik
deskriptive Statistik,Statistik
Geostatistik,Statistik
Hypothesen,Statistik
Inventurdesign,Statistik
multivariate Statistik,Statistik
Statistik / Statistische Verfahren / Statistische Tests,Statistik
statistische Analyse von Laborexperimenten,Statistik
Stichprobenverfahren,Statistik
Verteilungen in der beschreibenden und schließenden Statistik,Statistik
