ModulNr.1,tag,VNT_37,VNT_44,VNT_46,POL-METH,Phil-MA 2,Phil-MA WP-1,Phil-PM-WT 3,BWL-MA-02-04 / MA-WW-BWL-0205 / D-WW-WIWI-0205,BWL-MA-03-04,BWL-MA-04-04,FOMH 6,FOMH 9,FOMH 10,FOMH 12,MSc GIT 04,MSc GIT 09,MSc GIT 12,MSc G 04,MSc G 09,MSc G 11
Forschung,wissenschaftliche Transferleistung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,wissenschaftliche Vorträge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,wissenschaftliches Arbeiten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,Wissenschaftsgeschichte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,Wissenschaftstheorie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forschung,Wissenschaftsverständnis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoinformation,Analyse von Bilddaten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Geoinformation,Datengewinnung / Aufnahmeverfahren / Datenaufzeichnung von Geodaten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Geoinformation,Fernerkundung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Geoinformation,Geodateninfrastruktur / GDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoinformation,Geodatenintegration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoinformation,Geoinformatik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoinformation,Geoinformationen / Geoinformationsdienste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Geoinformation,Geoinformationssysteme / GIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Geoinformation,Georeferenzierung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoinformation,Kartographische Feldarbeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Geoinformation,Klassifikation von Fernerkundungsdaten / Auswerteverfahren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoinformation,Laserscanner in der Photogrammetrie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoinformation,Luftbilddaten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Geoinformation,multi-sensorale Bilddaten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoinformation,multi-temporale Bilddaten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoinformation,Navigation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Geoinformation,Photogrammetrie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoinformation,Radiometrie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Geoinformation,raumbezogene Datenanalyse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Geoinformation,Satellitenbilddaten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Geoinformation,Sensorik in der Fernerkundung / Sensorsysteme auf Satelliten / Flugzeugen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoinformation,Verwaltung raumbezogener Daten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoinformation,Visualisierungsverfahren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geographie,Bevölkerungsgeographie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geographie,Demographie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geographie,geographische Dimensionsstufen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geographie,Globaler Wandel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geographie,Globalisierung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geographie,Maßstabsebenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geographie,physische Struktur / humangeographisch Struktur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geographie,räumliche Disparitäten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geographie,Regionalwissenschaften,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geographie,Siedlungsgeographie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geographie,sozialer  Wandel / demographischer Wandel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Abfallrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Arbeitsschutz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Baurecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gesetz / Recht,Bodenschutzrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Gesetz / Recht,Energierecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Forstrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Gefahrstoffrecht / europäisches Gefahrstoffrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Immissionsschutzrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Jagdrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Naturschutzrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Planfeststellung / Planfeststellungsverfahren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Plangenehmigung / Plangenehmigungsverfahren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Planungsrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Raumordnungsrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Umweltrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Umweltvölkerrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gesetz / Recht,Wasserrecht / Gewässerschutzrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klima / Luft,Atmosphäre / Atmosphärische Einflüsse / Atmosphärische Spurenstoffe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
